"Work Order Number","SA: Type","SA: Schedule Exception Reason","SA: Duration","SA: Status","Entitlement Process Start Time","Created Date","SA: Scheduled Start","SA: Earliest Start Permitted","SA: Due Date","SA: Schedule Mode","SA: Service Territory","SA: Appointment Number"
"WO00035546","Onsite Visit","","80.00","Completed","5/6/2019 12:20 PM","5/6/2019","5/7/2019 11:30 AM","5/7/2019 8:30 AM","5/7/2019 3:20 PM","Manual","AU - NSW","SA-0039641"
"WO00029500","Onsite Visit","No Service Territory","80.00","Completed","3/15/2019 11:24 PM","3/15/2019","4/2/2019 1:00 PM","3/16/2019 12:00 AM","3/16/2019 5:24 AM","Manual","","SA-0033373"
"WO00027215","Parts Pickup","Parts are not available by the Due Date.","20.00","Completed","2/26/2019 9:32 AM","2/26/2019","4/12/2019 8:15 AM","3/1/2019 9:00 PM","3/2/2019 2:00 AM","Manual","NZ - North Island","SA-0031409"
"WO00027215","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","2/26/2019 9:32 AM","2/26/2019","4/12/2019 8:45 AM","2/25/2019 10:00 PM","2/26/2019 1:32 PM","Manual","NZ - North Island","SA-0031410"
"WO00027391","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","2/27/2019 10:24 AM","2/27/2019","4/13/2019 1:00 PM","2/27/2019 1:00 AM","2/27/2019 2:24 PM","Manual","AU - QLD","SA-0031074"
"WO00029274","Onsite Visit","No Service Territory","80.00","Completed","3/14/2019 2:00 PM","3/14/2019","3/15/2019 7:15 AM","3/13/2019 10:00 PM","3/14/2019 6:00 PM","Manual","","SA-0033218"
"WO00036422","Onsite Visit","","80.00","Completed","5/13/2019 9:53 AM","5/13/2019","5/15/2019 2:45 PM","5/13/2019 12:00 AM","5/13/2019 1:53 PM","Manual","AU - NSW","SA-0040498"
"WO00035481","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","4/26/2019 9:06 AM","4/26/2019","5/6/2019 2:00 PM","4/26/2019 2:00 AM","5/6/2019 10:57 AM","Manual","AU - WA","SA-0039582"
"WO00035481","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","4/26/2019 9:06 AM","4/26/2019","5/6/2019 1:45 PM","4/26/2019 2:00 AM","5/6/2019 10:57 AM","Manual","AU - WA","SA-0039583"
"WO00029117","Onsite Visit","","240.00","Completed","3/13/2019 3:56 PM","3/13/2019","5/22/2019 12:00 PM","5/14/2019 3:14 PM","5/14/2019 3:14 PM","Manual","AU - QLD","SA-0032961"
"WO00036446","Parts Pickup","","30.00","Completed","5/13/2019 11:15 AM","5/13/2019","5/15/2019 12:24 PM","5/13/2019 12:00 AM","5/13/2019 3:15 PM","Manual","AU - VIC","SA-0040598"
"WO00036446","Onsite Visit","","80.00","Completed","5/13/2019 11:15 AM","5/13/2019","5/15/2019 2:00 PM","5/13/2019 12:00 AM","5/13/2019 3:15 PM","Manual","AU - VIC","SA-0040599"
"WO00036424","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","5/13/2019 10:02 AM","5/13/2019","5/13/2019 12:15 PM","5/13/2019 12:00 AM","5/13/2019 2:02 PM","Manual","AU - NSW","SA-0040503"
"WO00036462","Onsite Visit","","80.00","Completed","5/13/2019 12:01 PM","5/13/2019","5/16/2019 8:00 PM","5/13/2019 2:00 AM","5/13/2019 4:01 PM","Manual","AU - WA","SA-0040540"
"WO00030539","Onsite Visit","No SSRs were found.","80.00","Completed","3/23/2019 10:00 AM","3/23/2019","4/2/2019 4:00 PM","3/26/2019 9:30 AM","3/26/2019 12:30 PM","Manual","AU - NSW","SA-0034613"
"WO00026862","Parts Pickup","Parts are not available by the Due Date.","20.00","Completed","2/22/2019 2:47 AM","2/22/2019","5/23/2019 10:45 AM","2/22/2019 3:00 AM","5/10/2019 10:03 PM","Manual","AU - WA","SA-0030454"
"WO00026862","Onsite Visit","Parts are not available by the Due Date.","240.00","Completed","2/22/2019 2:47 AM","2/22/2019","5/23/2019 10:30 PM","2/22/2019 3:00 AM","5/10/2019 10:03 PM","Manual","AU - WA","SA-0030455"
"WO00031396","Parts Pickup","Parts are not available by the Due Date.","20.00","Completed","3/29/2019 6:20 PM","3/29/2019","4/1/2019 11:00 AM","3/29/2018 10:00 PM","3/29/2019 10:20 PM","Manual","AU - NSW","SA-0035500"
